PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
Gastos;40845;4344;167796;659013;957189;100982;9504;1777;91229;727538;159027;331578;474008;418797;0;80769;811
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-37923;-2312;-158948;-26635;-736749;-167;92608;203;-83307;-666776;-158889;-74795;-397447;-202935;0;-74017;361
MARGEN OPERACIONAL BRUTO;663101;72899;1570225;3063825;3189847;333852;203641;31180;210761;883590;147631;1047169;692314;1353725;0;478503;22621
GASTOS DE ADMINISTRACIÓN;196943;59492;826310;1693573;2441899;224022;110275;26715;182642;738556;141187;595052;608306;891939;0;414591;14829
MARGEN OPERACIONAL NETO;466158;13407;743915;1370252;747949;109830;93367;4465;28119;145034;6444;452118;84007;461787;0;63913;7793
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-445609;1265;44262;46339;-22814;-283;1071;4346;22831;98189;10230;18333;49111;48801;0;21787;0
Productos Extraordinarios;126295;2595;45486;49772;30283;1237;1143;4821;23725;104089;10230;32875;61488;53625;0;25379;0
Gastos Extraordinarios;571904;1331;1224;3433;53097;1520;72;475;894;5900;0;14542;12377;4824;0;3592;0
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;11669;-521;-14134;616;13259;-659;129;13;-864;-597;-548;0;5411;-8117;0;1527;-1367
Productos de Ejercicios Anteriores;12414;438;1875;1218;19529;1;431;17;2;236;499;0;6845;13073;0;1527;288
Gastos de Ejercicios Anteriores;745;959;16009;602;6270;660;302;4;866;833;1048;0;1434;21191;0;0;1655
GANANCIA (PÉRDIDA) BRUTA;32218;14151;774043;1417207;738394;108888;94567;8823;50087;242626;16125;470451;138530;502471;0;87227;6426
IMPUESTO SOBRE LA RENTA;0;0;132541;98114;24540;1330;12802;1283;6228;11464;5445;96142;22005;36224;0;22294;1595
GANANCIA (PÉRDIDA) NETA;32218;14151;641502;1319093;713854;107558;81765;7541;43859;231161;10681;374308;116525;466247;0;64933;4831
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;541672;200994;3275439;8452074;9781877;948625;418985;81400;221783;1446643;173630;2586013;2535786;4944398;0;157514;37689
Encaje Requerido;515084;199141;3272508;8426392;9736656;937533;411762;80731;218512;1439115;173274;2534588;2518346;4902350;0;154018;35188
Posición;26589;1852;2930;25682;45221;11092;7222;669;3271;7528;356;51425;17440;42048;0;3496;2501
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;3082;5909;146425;274747;40998;48509;28084;281;16384;80526;362;218105;128881;189387;0;1271;7062
Encaje Requerido;1032;2975;1726;268272;28274;47881;20314;202;14843;71378;38;212278;126762;184833;0;237;6749
Posición;2050;2934;144699;6475;12724;628;7769;79;1541;9148;324;5827;2119;4554;0;1034;313
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1688341;893201;15197750;28615587;31965958;4074472;6914;308185;1207483;6156552;929088;11989225;13808914;12225986;0;1227442;216827
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);19808;87346;108563;29576588;4537864;2295549;622;456;554021;4312649;450;10137743;9391959;10750539;0;0;305583
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;63361;11383;36988;1312708;2329710;83281;335;3468;2486;118586;0;168030;468229;1078397;0;319625;392
Monto Depósitos Monetarios;1423302;345757;1649278;24260314;24941595;2513423;2599122;65163;257071;1801414;0;8064760;5223672;12363122;0;565081;20994
No. de Cuentas Depósitos de Ahorro;36270;53633;402301;1396111;4372424;87174;0;18788;13727;361481;38135;349808;556720;863559;0;0;305
Monto Depósitos de Ahorro;766244;324595;3241291;13402057;21257892;1286484;0;174768;83676;767457;70826;2818509;3641172;11874749;0;0;14716
No. de Cuentas Depósitos a Plazo;2060;1782;23284;17245;60211;2610;0;414;671;4435;2575;4000;8993;12572;0;3419;317
Monto Depósitos a Plazo;1220290;688075;17627856;21074142;21343765;2656417;0;325687;1157828;7312935;1120716;7010653;8405748;9249824;0;469588;212057
No. de Cuentas a la Orden;434;24;5;112966;4766;695;0;961;119;683;26;2691;382351;0;0;51;0
Monto Depósitos a la Orden;27749;194;13;24133;204693;11310;0;52;11;1439;674;10107;42892;0;0;33;0
No. de Cuentas Depósitos con Restricciones;7593;1531;57836;96060;19103;11453;35;1005;1231;44757;408;8438;72062;123717;0;31750;3
Monto Depósitos con Restricciones;11827;2195;23121;284649;108259;22669;5161;845;1006;32576;336;35627;60411;133577;0;6656;41
No. de Obligaciones Financieras;126;0;0;0;0;1;0;0;22;0;0;0;114;0;0;0;192
Monto Obligaciones Financieras;1280;0;0;0;0;400;0;0;35050;0;0;0;6306;0;0;0;67107
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
