PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
Encaje Requerido;1024;3048;1704;271820;28139;49565;20802;192;15211;73662;39;213966;129761;186613;240;7124;29
Posición;504;3636;29766;3249;22467;259;10653;40;3852;913;285;9163;2006;4406;549;163;103
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1673661;907891;15317955;28833865;32289017;4106647;8266;312134;1272050;6250679;919313;12374878;13946265;12270875;1278742;210014;31104
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);19570;86291;109280;29342795;4383150;2516721;975;495;565059;4424200;471;10154612;9579822;10498280;0;305868;2612
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;63419;11479;37799;1325573;2334999;83920;336;3455;2515;119475;0;170645;472018;1076862;320739;405;114
Monto Depósitos Monetarios;1477068;368968;1464984;23838830;25268732;2481067;2407829;66421;269460;1892611;0;8079032;5218167;11972233;563296;23266;19
No. de Cuentas Depósitos de Ahorro;35796;53693;403545;1402636;4371878;87191;0;18818;13847;364202;38757;360065;558872;868990;0;305;9
Monto Depósitos de Ahorro;767848;329931;3330408;13530163;21522839;1378716;0;183144;86357;763428;70973;2846650;3762939;12093244;0;15666;3
No. de Cuentas Depósitos a Plazo;2046;1780;23327;17186;59637;2588;1;412;667;4433;2576;3981;8904;12430;3421;342;35
Monto Depósitos a Plazo;1217839;700001;17640724;21189556;21542880;2651182;300000;327303;1152810;7357133;1142005;7103181;8381821;9173635;472366;234889;21929
No. de Cuentas a la Orden;398;24;5;112431;4860;552;0;961;119;717;26;2556;375537;0;51;0;0
Monto Depósitos a la Orden;9030;194;13;24782;88699;11207;0;52;17;1652;674;10580;42610;0;33;0;0
No. de Cuentas Depósitos con Restricciones;7602;1540;57967;97129;19284;11559;37;1006;1258;44885;410;8680;72485;124009;31826;3;0
Monto Depósitos con Restricciones;11492;2201;23834;288870;106828;23679;5273;855;1021;31275;336;35852;58977;132486;6664;41;0
No. de Obligaciones Financieras;126;0;0;0;0;1;0;0;25;0;0;0;114;0;0;129;322
Monto Obligaciones Financieras;1280;0;0;0;0;400;0;0;42050;0;0;0;6306;0;0;37563;239149
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;418;446;1070;74427;12464;4155;212;0;777;17290;0;18319;10539;22605;1325;153;0
Monto Depósitos Monetarios;16579;56755;39568;8700643;647873;766973;980389;0;110031;1222547;0;5221701;2400901;6261958;13223;5438;0
No. de Cuentas Depósitos de Ahorro;519;380;1197;57966;23981;4910;0;144;792;19663;130;14060;19325;28214;0;51;1
Monto Depósitos de Ahorro;13818;12074;41518;3392333;242993;569452;0;9242;67114;486348;1003;898581;3168956;1625389;0;9651;3
No. de Cuentas Depósitos a Plazo;86;63;22;1076;592;453;1;1;228;1332;6;765;1152;1403;0;267;3
Monto Depósitos a Plazo;24143;90353;9858;2550328;572993;1320151;1094;430;643253;2231285;1060;5127912;1389551;1934056;0;367218;3511
No. de Cuentas a la Orden;21;1;0;3795;58;116;0;0;0;230;0;301;8818;0;1;0;0
Monto Depósitos a la Orden;6;4;0;2412;8166;1635;0;0;0;2172;0;14447;5508;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3725;66;476;2;0;26;16799;3;721;2025;858;118;1;0
Monto Depósitos con Restricciones;40;37;554;28710;816;3541;85;0;228;6792;1;6923;6647;6536;35;0;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;59
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56843;35279
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;298432;324116;3930840;10123801;8699874;1107060;240059;144529;338803;2427906;249642;2792651;2894433;5380067;294646;160410;59184
CAPITAL REQUERIDO;195953;116424;1682593;7471344;4870425;776358;48388;59216;225152;1401613;108071;2330250;2465274;3053360;143013;65633;14452
POSICIÓN;102478;207692;2248247;2652457;3829449;330702;191671;85313;113651;1026293;141571;462401;429158;2326707;151633;94776;44732
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;49;1;0;0;0;0;0;0;0;0;2
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Adecuación de capital (AC);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;2;1;4;0;1;1;359;34;1;2;2;1;2;1
