PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;31802;0;75543;0;6393;0;165;0;0;25738;12314;61137;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;217623;0;48203;184032;84385;1250873;465388;0;0;0;6157
RESULTADOS DEL EJERCICIO;25804;10705;493166;1052654;562014;77587;59791;6649;30249;184813;10261;291754;94205;354120;0;54493;3706
TOTAL IGUAL A LA SUMA DEL ACTIVO;5010882;1870560;28485681;103330661;81648473;10648831;3593984;763408;2685798;16534706;1431588;33393617;30753456;54885439;0;2011023;936259
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;174987;92409;2370006;4319177;4036183;461424;93615;45051;348758;1571040;309688;1483350;1447117;2195865;0;438390;50639
GASTOS FINANCIEROS;73191;34651;1000999;2125900;1540470;233257;15278;20794;93335;471334;58052;619899;617190;1155428;0;38645;32863
MARGEN POR INVERSIÓN;101795;57758;1369007;2193277;2495713;228167;78337;24257;255423;1099706;251636;863452;829927;1040437;0;399744;17776
