PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
GASTOS DE ADMINISTRACIÓN;19615;5820;95319;187338;266814;24276;11276;2576;19479;94426;12271;75246;61484;80887;48644;1596;1424
MARGEN OPERACIONAL NETO;35944;2323;75331;109765;100191;12606;9393;2003;-2427;24188;-10503;28450;13857;57605;20158;549;828
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-25401;-158;4984;40669;3870;-91;12;223;2815;14969;2040;2823;6818;4132;3132;0;43
Productos Extraordinarios;6596;0;5003;41004;9126;34;16;247;2857;15238;2040;4155;7433;4140;3280;0;56
Gastos Extraordinarios;31998;158;19;336;5256;125;4;24;42;269;0;1333;614;8;148;0;13
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;1501;-62;167;305;624;-108;-33;-7;195;6733;9284;0;-1265;-77;0;11;-52
Productos de Ejercicios Anteriores;1603;121;439;386;805;0;17;0;434;6813;10122;0;1020;1786;0;12;23
Gastos de Ejercicios Anteriores;103;183;272;80;181;108;50;7;240;80;838;0;2286;1863;0;2;75
GANANCIA (PÉRDIDA) BRUTA;12043;2103;80482;150739;104685;12407;9372;2219;582;45890;820;31273;19410;61660;23290;559;819
IMPUESTO SOBRE LA RENTA;0;0;12740;16433;12798;2014;1889;82;0;32152;413;6242;4080;3264;5823;2;33
GANANCIA (PÉRDIDA) NETA;12043;2103;67742;134306;91887;10394;7483;2137;582;13739;407;25031;15331;58396;17468;557;785
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
