PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);35660;97583;107304;29532228;4075199;2682577;808;461;585741;4510010;394;10471417;9462438;10640087;0;274128;2411
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;64837;11734;38950;1342203;1473979;86633;350;3399;2564;122309;0;174237;149637;454459;322759;606;281
Monto Depósitos Monetarios;2078740;339147;1535400;25199738;26047236;2720709;2313311;88884;434851;1887738;0;8156503;5416390;12232461;600081;17458;13344
No. de Cuentas Depósitos de Ahorro;35219;53877;407272;1421135;4390912;87679;0;18867;14385;201595;40950;381326;563511;885955;0;310;191
Monto Depósitos de Ahorro;768838;332131;3664046;13409475;22245491;1320556;0;178015;98652;816585;72048;3000223;3896430;12615777;0;13874;4924
No. de Cuentas Depósitos a Plazo;2004;1802;23578;17179;58002;2494;1;410;642;4397;2626;3860;8705;11971;3400;378;151
Monto Depósitos a Plazo;1290696;747035;17701202;22816209;21810265;2609917;550000;322760;1139006;7471624;1158870;6790345;8358162;8847434;480768;273866;114880
No. de Cuentas a la Orden;396;28;10;112352;5134;598;0;961;119;864;28;3223;356447;0;51;0;0
Monto Depósitos a la Orden;4792;4735;14;24337;160813;12991;0;51;14;2286;806;13789;42521;0;33;0;0
No. de Cuentas Depósitos con Restricciones;7606;1567;58365;101076;19429;11893;38;1007;1305;45402;414;9307;73960;125047;32131;3;0
Monto Depósitos con Restricciones;11516;2215;21158;295904;105976;20994;5257;894;993;30922;343;36844;60620;138230;6768;41;0
No. de Obligaciones Financieras;139;0;0;0;0;1;0;0;22;0;0;0;114;0;0;62;233
Monto Obligaciones Financieras;15664;0;0;0;0;400;0;0;38200;0;0;0;6306;0;0;19970;170218
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;421;453;1066;75307;12475;4153;223;0;779;17465;0;18433;10545;15777;1317;161;0
Monto Depósitos Monetarios;16850;65192;61388;8968925;675943;786600;996251;0;188624;1238187;0;6181204;2375824;7240274;13236;8131;0
No. de Cuentas Depósitos de Ahorro;518;377;1206;58559;23974;4941;0;144;847;20556;127;14729;19423;27780;0;51;14
Monto Depósitos de Ahorro;16007;10023;38534;4161746;239310;507349;0;11160;60089;522963;1221;971059;2702120;1486329;0;10702;213
No. de Cuentas Depósitos a Plazo;86;64;23;1072;599;436;1;1;227;1344;6;772;1108;1406;0;285;23
Monto Depósitos a Plazo;23149;92674;9940;2521824;586632;1184857;1079;424;652699;2240867;1046;4694942;1307293;2319551;0;381493;11209
No. de Cuentas a la Orden;21;1;0;3744;58;115;0;0;0;272;0;317;8537;0;1;0;0
Monto Depósitos a la Orden;6;3;0;2213;7471;1580;0;0;0;2429;0;2828;14409;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;28;188;3818;68;481;3;0;27;16791;3;743;2053;903;120;1;0
Monto Depósitos con Restricciones;39;41;555;33945;855;4108;84;0;226;6680;1;8072;7072;7352;35;0;0
No. de Obligaciones Financieras;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;39
Monto Obligaciones Financieras;19834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31811;29012
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;352096;331919;3958646;11264746;8534249;1165107;240059;141883;362133;2354347;201462;2833230;2964355;5421956;294646;141626;52090
CAPITAL REQUERIDO;220215;121567;1713440;7581836;4811902;792505;45908;58361;233213;1434692;102869;2463797;2436636;3135433;147727;58671;14614
POSICIÓN;131882;210353;2245206;3682910;3722347;372602;194151;83522;128921;919655;98593;369433;527719;2286523;146918;82955;37475
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;27;1;0;0;0;0;0;0;0;0;2
