PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
GASTOS FINANCIEROS;45281;21284;621217;1329858;959548;152487;9960;13102;57299;291506;36196;359608;385268;721988;0;23985;20285
MARGEN POR INVERSIÓN;57642;35868;846281;1362210;1568212;132981;36679;15728;160396;602511;153304;557902;547397;648191;0;251279;12290
PRODUCTOS POR SERVICIOS;426399;2658;16640;152343;325081;26675;1892;332;8513;141256;5085;36426;87564;128778;0;42000;185
GASTOS POR SERVICIOS;12261;2159;12672;0;0;7019;4;0;22267;39845;4178;18790;56459;11912;0;13054;92
MARGEN POR SERVICIOS;414139;499;3968;152343;325081;19656;1888;332;-13754;101411;907;17636;31105;116867;0;28946;93
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;1039;1009;963;354916;81298;41265;57229;1881;3998;26963;20;128751;43115;132153;0;3099;170
Gastos;10902;2068;95287;321861;409746;38886;6709;1123;54645;276872;67195;129797;230344;240068;0;26989;16
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-9863;-1059;-94324;33055;-328448;2379;50521;758;-50647;-249909;-67175;-1046;-187229;-107915;0;-23890;154
MARGEN OPERACIONAL BRUTO;461917;35307;755925;1547608;1564846;155015;89088;16818;95995;454014;87036;574491;391273;657143;0;256335;12537
GASTOS DE ADMINISTRACIÓN;91985;29363;422649;839103;1180371;115845;53856;14104;93720;379413;77018;306213;303372;443709;0;218176;7516
MARGEN OPERACIONAL NETO;369971;5944;333276;708505;384475;39171;35231;2714;2275;74601;10018;268278;87901;213434;0;38159;5021
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-362097;1600;21919;21502;-6676;-146;572;2390;10079;49895;6201;9337;18863;25645;0;10824;0
Productos Extraordinarios;33045;1984;22689;23047;15262;397;630;2631;10447;52617;6201;12618;24618;25701;0;12032;0
Gastos Extraordinarios;395142;384;770;1545;21937;542;58;242;368;2722;0;3281;5755;57;0;1208;0
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;4228;-462;-1081;763;6515;-217;118;16;-579;-105;-305;0;1770;34;0;189;-1367
Productos de Ejercicios Anteriores;4787;321;1213;1193;12054;1;417;16;2;236;499;0;2966;8554;0;189;288
Gastos de Ejercicios Anteriores;559;783;2294;430;5539;218;300;0;580;341;804;0;1197;8520;0;0;1655
GANANCIA (PÉRDIDA) BRUTA;12102;7082;354114;730770;384315;38808;35921;5120;11775;124391;15915;277615;108533;239113;0;49172;3654
IMPUESTO SOBRE LA RENTA;0;0;55218;51150;17085;0;4784;555;31;9164;6240;59528;19388;16228;0;12438;1330
GANANCIA (PÉRDIDA) NETA;12102;7082;298896;679620;367230;38808;31137;4565;11744;115227;9675;218087;89145;222885;0;36734;2323
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
