PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
RESERVAS PARA ACTIVOS EXTRAORDINARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REVALUACIÓN DE ACTIVOS;161125;50972;34726;56038;23155;12757;0;10653;0;11154;0;24627;22612;0;0;0;0
OBLIGACIONES SUBORDINADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS Y PÉRDIDAS POR FUSIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUACIÓN DE ACTIVOS DE RECUPERACIÓN DUDOSA;70986;38437;0;0;0;0;0;300;2789;62562;25000;0;48447;0;0;0;0
PROVISION DE BENEFICIOS A EMPLEADOS;0;0;0;0;174275;0;8378;0;0;0;0;0;0;0;0;0;0
AJUSTES AL IMPUESTO SOBRE LA RENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANANCIAS O PÉRDIDAS POR CAMBIOS EN EL VALOR DE MERCADO DE LAS INVERSIONES;0;0;1467;0;30388;0;-8380;0;-15;0;0;-16888;-1980;11779;0;0;0
RESULTADOS DE EJERCICIOS ANTERIORES;-959735;-17040;9170;0;0;0;217623;0;48203;382216;84385;1406173;465388;0;0;0;6157
RESULTADOS DEL EJERCICIO;10116;6233;241334;570582;303459;32804;26527;3630;8541;94021;9379;197794;62625;168136;0;34634;1838
TOTAL IGUAL A LA SUMA DEL ACTIVO;4078785;1702176;26835448;101911829;76164072;10726547;2600877;728253;2697340;15654433;1402769;31016306;30465040;54821816;0;1851650;954767
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;82728;46265;1167099;2155605;2072510;232764;37266;23108;170647;716783;138706;754059;760766;1062525;0;238036;26079
GASTOS FINANCIEROS;35708;16815;494641;1060767;766234;124455;8453;10519;44922;230570;28954;280922;304926;571210;0;18984;15867
MARGEN POR INVERSIÓN;47020;29450;672458;1094837;1306277;108309;28812;12589;125724;486213;109751;473137;455841;491315;0;219053;10212
PRODUCTOS POR SERVICIOS;406085;2211;13321;125625;261464;22332;1718;277;6781;119589;4514;30891;71802;107182;0;35076;163
GASTOS POR SERVICIOS;11544;1742;10353;0;0;6393;4;0;18864;31942;3703;15882;47889;10040;0;9890;69
MARGEN POR SERVICIOS;394540;470;2968;125625;261464;15938;1714;277;-12083;87648;810;15009;23914;97142;0;25186;94
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;785;869;1304;299126;70943;38482;48848;1861;3418;23438;43;112313;37168;98434;0;2857;287
Gastos;10526;2012;70275;240797;360373;35742;6247;1214;39514;228989;39097;110296;208293;167267;0;25158;1
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-9742;-1142;-68971;58330;-289430;2739;42602;647;-36096;-205550;-39054;2016;-171125;-68833;0;-22301;286
MARGEN OPERACIONAL BRUTO;431819;28778;606455;1278792;1278311;126987;73128;13513;77545;368310;71508;490163;308629;519624;0;221938;10592
GASTOS DE ADMINISTRACIÓN;73182;23657;338365;681307;949578;93975;42863;11616;77453;309874;63992;246584;249227;361339;0;184077;6132
MARGEN OPERACIONAL NETO;358637;5121;268091;597485;328733;33012;30265;1897;92;58435;7516;243579;59402;158285;0;37861;4460
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-352684;1704;18590;18553;-11643;-59;361;2048;9027;42921;5561;8227;16056;21216;0;8322;0
Productos Extraordinarios;22317;1983;19079;19746;11797;383;371;2273;9318;44989;5561;10438;20587;21233;0;9251;0
Gastos Extraordinarios;375001;280;489;1193;23441;442;10;225;291;2068;0;2210;4531;18;0;929;0
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;4163;-591;-502;781;3208;-149;74;16;-579;-105;-268;0;635;1587;0;189;-1367
Productos de Ejercicios Anteriores;4676;193;1090;1197;8747;1;373;16;2;236;475;0;1807;8456;0;189;288
Gastos de Ejercicios Anteriores;512;784;1592;416;5538;150;300;0;580;341;743;0;1172;6869;0;0;1655
GANANCIA (PÉRDIDA) BRUTA;10116;6233;286179;616819;320298;32804;30700;3960;8541;101251;12809;251807;76093;181087;0;46372;3093
IMPUESTO SOBRE LA RENTA;0;0;44845;46236;16839;0;4173;330;0;7230;3430;54013;13468;12952;0;11738;1255
GANANCIA (PÉRDIDA) NETA;10116;6233;241334;570582;303459;32804;26527;3630;8541;94021;9379;197794;62625;168136;0;34634;1838
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;437222;181875;3062814;7965267;8852696;844986;235649;77899;207298;1321679;162496;2256888;2334852;4756473;0;151347;38709
Encaje Requerido;432800;180773;3051577;7908481;8802685;837114;216607;76502;198139;1306386;162112;2111754;2309101;4629532;0;145542;29273
Posición;4422;1102;11238;56786;50011;7872;19042;1397;9159;15293;384;145133;25751;126941;0;5805;9436
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1143;2456;48191;289028;46050;47249;31566;292;21821;70211;191;226576;132930;183667;0;1694;4799
Encaje Requerido;1064;2318;1852;278586;27934;44353;21167;270;13093;69265;38;199682;103844;173217;0;225;4502
Posición;79;138;46338;10442;18115;2896;10399;23;8728;946;154;26894;29086;10450;0;1469;298
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1548116;882798;14385522;26575070;31087329;4529674;4547;340122;1107067;5950239;1043429;12254968;13280710;12528516;0;1145044;185314
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);23893;92839;108384;30156601;4603464;2377902;432;449;577047;4153340;705;10370169;9908592;11713213;0;0;326039
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;100040;10002;34383;1282715;1473219;79705;323;3558;2572;114330;0;181053;292354;836365;0;314825;366
Monto Depósitos Monetarios;1134824;313362;1319073;22299866;21343407;2144179;1157457;63366;200693;1410903;0;5944158;4787744;11298224;0;538359;8062
No. de Cuentas Depósitos de Ahorro;39961;53098;402398;1370095;4427299;87398;0;18566;13253;280000;35459;364064;551161;1034441;0;0;311
Monto Depósitos de Ahorro;717886;292440;2579637;11562236;18808015;1060996;0;125975;67754;692867;75702;2547878;3399368;10867440;0;0;20161
No. de Cuentas Depósitos a Plazo;2132;1761;23415;17752;61643;2715;0;409;658;4377;2505;3950;9229;13411;0;3343;236
Monto Depósitos a Plazo;1087648;622151;16992177;21011555;20795662;2653586;0;329498;1078202;6879930;1031914;6186394;7377169;9457153;0;452290;167663
No. de Cuentas a la Orden;349;36;5;113289;2730;620;0;959;74;531;24;2078;423859;0;0;51;0
Monto Depósitos a la Orden;4639;211;13;25586;189759;14104;0;51;5;1896;621;10373;46263;0;0;33;0
No. de Cuentas Depósitos con Restricciones;7601;1517;57827;94796;17789;11247;32;998;1186;44429;393;7871;69393;121756;0;31503;3
Monto Depósitos con Restricciones;12030;2195;23133;275060;86476;20090;7860;844;924;29977;281;34392;58053;129033;0;6509;41
No. de Obligaciones Financieras;126;0;0;40;0;1;0;0;22;0;0;0;114;0;0;0;415
