PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
PRODUCTOS POR SERVICIOS;318460;5760;8350;100392;265672;18504;1462;217;4930;97986;2801;27691;53918;85574;29690;88;357
GASTOS POR SERVICIOS;7462;1432;10878;0;0;2501;1;3;14535;27216;2468;47231;36821;6682;9468;139;237
MARGEN POR SERVICIOS;310998;4328;-2528;100392;265672;16003;1461;214;-9605;70770;332;-19540;17097;78892;20222;-51;120
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;554;648;610;134695;71578;11670;38205;1529;2735;15092;0;74365;31105;35522;2051;72;65
Gastos;4942;619;56406;16434;368453;19185;11958;0;46100;62720;10402;109283;161844;91905;45478;1768;0
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-4388;29;-55797;118260;-296875;-7514;26247;1529;-43365;-47628;-10402;-34917;-130738;-56383;-43426;-1696;65
MARGEN OPERACIONAL BRUTO;345070;26431;512901;981003;1132901;111063;58783;11648;56790;322688;25480;314680;269650;453004;195557;8037;7732
GASTOS DE ADMINISTRACIÓN;63005;18509;298032;568909;822798;72840;33680;7931;59281;288981;37464;238915;192463;257424;148557;4785;4716
MARGEN OPERACIONAL NETO;282064;7922;214870;412093;310103;38223;25103;3717;-2491;33707;-11984;75766;77187;195579;47000;3252;3016
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-249735;-643;16026;26594;21312;90;17;775;8477;44092;4469;9084;27266;28524;11640;0;176
Productos Extraordinarios;27685;100;16340;27645;36122;480;106;878;8927;45756;4469;14718;29220;28555;11902;0;203
Gastos Extraordinarios;277420;743;313;1050;14810;390;89;102;451;1664;0;5633;1954;31;262;0;26
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;3748;991;147;18632;-4205;-160;-18;5;833;14791;8948;0;-894;-4162;0;29;-185
Productos de Ejercicios Anteriores;4122;2028;931;18868;5187;0;45;12;1547;14871;10254;0;2417;2499;0;32;29
Gastos de Ejercicios Anteriores;374;1037;784;236;9392;160;63;7;714;80;1306;0;3311;6661;0;2;214
GANANCIA (PÉRDIDA) BRUTA;36077;8270;231043;457319;327209;38154;25102;4497;6819;92591;1433;84850;103560;219942;58640;3281;3008
IMPUESTO SOBRE LA RENTA;0;0;44813;46942;44368;6383;4979;488;0;7580;706;13926;19979;11251;14660;269;135
GANANCIA (PÉRDIDA) NETA;36077;8270;186230;410377;282841;31770;20123;4009;6819;85010;727;70924;83581;208690;43980;3011;2873
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
