PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO DE RESULTADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRODUCTOS FINANCIEROS;195022;103629;2674476;4854272;4579844;519171;103917;50516;391029;1749803;348780;1680178;1616613;2464999;0;493079;56593
GASTOS FINANCIEROS;82884;38994;1124152;2375019;1730124;259061;17338;23435;105087;530207;65305;697732;695173;1291985;0;43186;36899
MARGEN POR INVERSIÓN;112138;64635;1550325;2479253;2849720;260110;86579;27080;285942;1219595;283475;982446;921440;1173014;0;449893;19694
PRODUCTOS POR SERVICIOS;527056;6301;27486;284067;629713;46771;3017;697;15684;253549;7311;67252;155164;237776;0;69095;263
GASTOS POR SERVICIOS;16087;3914;23574;0;0;9271;5;0;37508;72176;6891;66317;90723;20477;0;27374;220
MARGEN POR SERVICIOS;510970;2387;3912;284067;629713;37501;3012;697;-21824;181373;419;935;64440;217299;0;41721;43
OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Productos;2637;1735;7738;576089;201621;97621;94006;1973;7065;55398;124;233204;66546;204127;0;5925;1065
Gastos;35040;4249;155794;584881;832164;94757;8771;1278;83377;671035;144820;251252;441573;382122;0;65564;441
MARGEN OTROS PRODUCTOS Y GASTOS DE OPERACIÓN;-32404;-2514;-148056;-8792;-630544;2864;85236;696;-76311;-615637;-144696;-18048;-375026;-177995;0;-59639;624
MARGEN OPERACIONAL BRUTO;590705;64509;1406181;2754528;2848889;300475;174826;28473;187807;785331;139199;965333;610854;1212318;0;431976;20361
GASTOS DE ADMINISTRACIÓN;173287;53637;749905;1518075;2182888;201285;98961;24179;164621;652949;128550;536411;543233;803642;0;373479;13241
MARGEN OPERACIONAL NETO;417417;10872;656276;1236453;666001;99189;75866;4294;23186;132382;10649;428922;67622;408676;0;58497;7120
PRODUCTOS Y GASTOS EXTRAORDINARIOS;-397398;1182;39671;40268;-23359;-495;1055;3962;19486;87320;9190;15092;41833;48158;0;20193;0
Productos Extraordinarios;110709;2335;40827;43407;25824;958;1124;4367;20329;92641;9190;28407;53046;50336;0;22185;0
Gastos Extraordinarios;508107;1153;1155;3139;49183;1453;69;406;843;5322;0;13315;11213;2178;0;1992;0
PRODUCTOS Y GASTOS DE EJERCICIOS ANTERIORES;7877;-539;-13721;701;12962;-570;129;11;-864;-429;-516;0;5331;-5564;0;1527;-1367
Productos de Ejercicios Anteriores;8616;420;1730;1208;18760;1;431;17;2;236;499;0;6761;12979;0;1527;288
Gastos de Ejercicios Anteriores;738;959;15452;507;5798;570;302;6;866;664;1015;0;1430;18543;0;0;1655
GANANCIA (PÉRDIDA) BRUTA;27896;11515;682226;1277422;655605;98124;77050;8267;41808;219274;19323;444015;114785;451270;0;80218;5753
IMPUESTO SOBRE LA RENTA;0;0;115154;87316;19283;0;10991;1179;4860;11561;8854;91754;17160;32277;0;20423;1524
GANANCIA (PÉRDIDA) NETA;27896;11515;567072;1190106;636322;98124;66059;7088;36948;207713;10469;352261;97625;418993;0;59795;4229
TASAS DE INTERÉS PROMEDIO PONDERADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES ACTIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Préstamos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Documentos Descontados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPERACIONES PASIVAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos Monetarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos de Ahorro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Depósitos a Plazo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bonos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pagarés Financieros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Subordinadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Financieras con Restricciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;525640;196990;3229911;8344011;9738180;939330;357704;80988;213137;1408558;172220;2524671;2466694;4855248;0;158687;34290
Encaje Requerido;518345;196308;3228975;8321201;9688291;927406;352999;79823;207835;1408043;171894;2479498;2453315;4827487;0;157814;32791
Posición;7296;682;936;22810;49890;11924;4705;1165;5302;515;327;45174;13380;27761;0;873;1499
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1501;3537;120480;275468;44627;48483;30446;263;24678;97537;250;227094;114508;187251;0;2290;6694
Encaje Requerido;1068;2604;1886;271500;28243;48153;21656;220;15710;70989;39;207076;112887;183628;0;246;6313
Posición;433;933;118593;3968;16384;329;8790;43;8968;26547;211;20018;1621;3623;0;2044;381
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1674429;897622;15014246;27638167;31687953;4246713;4352;309621;1178914;6087676;944995;11620947;12610799;11709757;0;1202534;198403
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
