PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;DE CRÉDITO, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.
Obligaciones Convertibles en Acciones;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENCAJE LEGAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;511732;191614;3124684;8204856;9423325;894020;333844;75474;206623;1386236;168349;2458026;2302112;4801392;0;157600;37306
Encaje Requerido;481791;190942;3123471;8184204;9376963;882554;312610;74660;203507;1385436;168049;2426364;2293653;4752367;0;156207;29588
Posición;29941;672;1213;20652;46362;11467;21234;814;3116;800;301;31662;8460;49025;0;1392;7718
MONEDA EXTRANJERA /Cifras en miles de Dólares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encaje Computable;1251;3614;62474;276398;41986;51625;26028;360;18174;72667;336;212009;115570;185840;0;1004;5945
Encaje Requerido;1066;2524;1892;275289;28627;51277;19197;260;14863;69983;41;204369;113950;180959;0;237;5515
Posición;186;1090;60582;1109;13359;347;6830;101;3311;2684;295;7640;1621;4881;0;767;430
CARTERA DE CRÉDITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vigente;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);1641780;875947;14664549;27525639;31063487;4409429;3922;318883;1140938;6057136;968722;11970976;12889101;11942544;0;1167315;183723
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL DE CARTERA DE CRÉDITOS (BRUTA);1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vigente;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Vencidos en Proceso de Prórroga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Administrativo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vencidos en Cobro Judicial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monto total de Cartera de Créditos (Bruta);20426;86438;106916;30080117;4368483;2263622;374;305;564914;4223575;556;10305170;9479182;11073256;0;0;305728
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEPÓSITOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONEDA NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;61397;10770;35164;1293898;2322307;81156;323;3489;2564;115898;0;157607;465429;1109978;0;316831;387
Monto Depósitos Monetarios;1525556;328276;1536377;23105689;23492729;2267959;2004110;56971;176065;1635497;0;6812587;4878966;11305214;0;597859;8341
No. de Cuentas Depósitos de Ahorro;37685;53508;401987;1379861;4386792;87265;0;18619;13472;354670;36499;325480;552714;929744;0;0;309
Monto Depósitos de Ahorro;738751;332314;2970922;12560659;20265897;1139548;0;133685;74238;742643;72219;2686172;3614304;11632444;0;0;12209
No. de Cuentas Depósitos a Plazo;2079;1777;23230;17459;61208;2707;0;409;661;4439;2511;4129;9084;12990;0;3346;272
Monto Depósitos a Plazo;1053196;662353;17072996;20891899;21434197;2762353;0;319528;1143388;7119122;1076353;7444790;7137565;9423016;0;466898;183322
No. de Cuentas a la Orden;376;36;5;112803;3840;663;0;961;74;624;24;2339;403497;0;0;51;0
Monto Depósitos a la Orden;2411;211;13;25123;164828;13115;0;52;5;1421;621;9756;44358;0;0;33;0
No. de Cuentas Depósitos con Restricciones;7592;1519;57894;94525;18544;11294;32;1001;1198;44521;395;8021;71163;123198;0;31585;3
Monto Depósitos con Restricciones;11738;2195;23109;273479;89640;22210;7860;856;933;29918;281;34087;57705;129836;0;6545;41
No. de Obligaciones Financieras;126;0;0;40;0;1;0;0;22;0;0;0;114;0;0;0;308
Monto Obligaciones Financieras;1280;0;0;65800;0;400;0;0;35050;0;0;0;6306;0;0;0;120684
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;408;428;1093;73267;12465;4120;200;0;762;17115;0;18050;10593;22684;0;1344;148
Monto Depósitos Monetarios;15700;37735;42546;7599771;650547;684146;902659;0;150758;1220453;0;4989568;1899023;6584383;0;12926;5513
No. de Cuentas Depósitos de Ahorro;528;384;1227;57414;24054;4898;0;139;743;18592;130;12988;19240;28658;0;0;44
Monto Depósitos de Ahorro;15612;15190;47671;3856649;245341;697578;0;14584;49880;415264;887;815713;2772891;1411853;0;0;8383
No. de Cuentas Depósitos a Plazo;90;62;23;1082;593;472;2;1;208;1315;6;693;1185;1466;0;0;195
Monto Depósitos a Plazo;24758;76288;9750;2438514;569530;1335222;93704;424;588669;2051654;1036;4776672;1505375;1892531;0;0;285349
No. de Cuentas a la Orden;20;1;0;3975;52;125;0;0;0;199;0;278;9187;0;0;1;0
Monto Depósitos a la Orden;5;3;0;2423;15405;1386;0;0;0;2030;0;2181;5756;0;0;0;0
No. de Cuentas Depósitos con Restricciones;63;27;187;3686;66;472;2;0;24;16781;3;681;2011;828;0;117;1
Monto Depósitos con Restricciones;39;36;546;29396;805;3725;84;0;221;6512;1;5420;6534;6290;0;35;0
No. de Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219
Monto Obligaciones Financieras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128228
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;284476;319547;3652384;9414237;7782560;1042367;240059;141996;298555;2031538;246718;2793225;2810491;4959477;0;294646;156630
CAPITAL REQUERIDO;201510;115990;1625481;7475664;4732585;778501;52241;56521;210944;1303950;112871;2300437;2357835;3091089;0;132425;64114
POSICIÓN;82967;203557;2026902;1938573;3049975;263866;187818;85475;87610;727588;133847;492788;452656;1868388;0;162221;92516
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;1;0
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Adecuación de capital (AC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;2;1;3;0;1;1;2;8;1;2;2;0;1;1
