PERFIL FINANCIERO;EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;INMOBILIARIO, S. A.;DE LOS TRABAJADORES;INDUSTRIAL, S. A.;DE DESARROLLO RURAL, S. A.;INTERNACIONAL, S. A.;CITIBANK, N.A., SUCURSAL GUATEMALA;VIVIBANCO, S. A.;FICOHSA GUATEMALA, S. A.;PROMERICA, S. A.;DE ANTIGUA, S. A.;DE AMÉRICA CENTRAL, S. A.;AGROMERCANTIL DE GUATEMALA, S. A.;G&T CONTINENTAL, S. A.;AZTECA DE GUATEMALA, S. A.;INV, S. A.;CREDICORP, S. A.
No. de Cuentas Depósitos con Restricciones;7632;1582;58604;103929;19728;12226;39;1018;1318;45825;420;10013;75450;125677;32364;3;0
Monto Depósitos con Restricciones;11311;2195;22094;300504;109594;23735;5437;917;998;31473;344;44137;60106;170803;6915;41;0
No. de Obligaciones Financieras;134;0;0;0;0;1;0;0;29;0;0;0;114;0;0;34;3
Monto Obligaciones Financieras;11941;0;0;0;0;400;0;0;54350;0;0;0;6306;0;0;13351;1200
MONEDA EXTRANJERA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
No. de Cuentas Depósitos Monetarios;423;459;1073;76114;12487;4161;228;0;794;17639;0;18606;10497;15664;1305;163;0
Monto Depósitos Monetarios;17363;85710;53416;9209218;792097;817236;657420;0;195255;1269050;0;6589157;2151507;7086692;13809;15006;0
No. de Cuentas Depósitos de Ahorro;514;378;1202;58985;23970;4968;0;148;871;21255;126;15298;19506;27738;0;52;10
Monto Depósitos de Ahorro;15226;10694;43752;4784048;240971;510953;0;20237;58617;595748;1060;1020980;2979718;1558870;0;21963;1166
No. de Cuentas Depósitos a Plazo;85;63;24;1061;598;432;1;1;230;1381;5;777;1083;1485;0;282;63
Monto Depósitos a Plazo;23202;97320;10414;2574913;588154;1216115;1081;424;705614;2333202;1011;4674964;1267037;2784515;0;367480;42860
No. de Cuentas a la Orden;20;1;0;3729;58;122;0;0;0;288;0;335;8346;0;1;0;0
Monto Depósitos a la Orden;5;3;0;2160;7024;1647;0;0;0;1497;0;8168;34140;0;0;0;0
No. de Cuentas Depósitos con Restricciones;65;29;189;3863;70;486;4;0;28;16729;3;764;2090;938;122;1;0
Monto Depósitos con Restricciones;128;53;556;35347;903;4161;431;0;226;6855;1;7915;6804;16787;59;0;0
No. de Obligaciones Financieras;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;1
Monto Obligaciones Financieras;9712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27038;278
POSICIÓN PATRIMONIAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPITAL COMPUTABLE;375656;335283;4079612;11774221;8554121;1155781;249177;143718;360076;2296958;199246;2833804;2975910;5322020;303191;144360;53900
CAPITAL REQUERIDO;244110;122512;1747039;7748047;4812767;805600;45024;56002;239282;1492554;100843;2525192;2492800;3111583;149438;56959;14895
POSICIÓN;131547;212770;2332573;4026175;3741354;350181;204153;87716;120794;804404;98403;308612;483110;2210437;153753;87401;39006
INDICADORES FINANCIEROS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LIQUIDEZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez inmediata (LI);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquidez mediata (LM);1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1
SOLVENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a activos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Patrimonio con relación a cartera de créditos (PCC);0;0;0;0;0;0;32;1;0;0;0;0;0;0;0;0;2
Patrimonio con relación a las captaciones (PCA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Adecuación de capital (AC);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Calce de operaciones ME con relación al patrimonio computable (COME);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RENTABILIDAD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre patrimonio (ROE);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rendimiento sobre activos (ROA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia sobre activos (EA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eficiencia (EF);0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CALIDAD DE ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cartera de créditos vencida con relación a cartera de créditos bruta (CVC);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobertura de cartera de créditos en riesgo (CCR);1;1;2;3;2;3;0;3;1;8;1;1;1;2;1;1;2
